Date,Close,TWD,TAIEX,SOX,TAIBOR,DIJA
2010-08-24,59.6,31.98,7940.64,318.41,0.33,10040.45
2010-08-25,58.7,32.02,7736.98,321.5,0.33,10060.06
2010-08-26,58.8,32.01,7689.74,315.23,0.33,9985.81
2010-08-27,58.8,31.99,7722.91,321.76,0.33,10150.65
2010-08-30,59.4,32.02,7741.2,313.58,0.33,10009.73
2010-08-31,58.9,32.02,7616.28,307.49,0.33,10014.72
2010-09-01,59.1,31.99,7668.25,316.75,0.33,10269.47
2010-09-02,59.5,31.96,7720.82,323.32,0.33,10320.1
2010-09-03,59.8,31.87,7830.21,328.71,0.33,10447.93
2010-09-06,60.5,31.84,7890.95,322.31,0.33,10340.69
2010-09-07,60.2,31.97,7884.4,322.31,0.33,10340.69
2010-09-08,59.3,31.9,7851.31,320.9,0.33,10387.01
2010-09-09,59.5,31.84,7835.54,321.08,0.33,10415.24
